,Name,Date,Time,Text,Cleaned Text
511,BitmexCourses,2023-02-27,10:13:10,"#BTC #BTCUSDT (Binance)Buy Between 23000 - 23400 Targets 24000 - 24350 - 24850 - 25080 StopLoss 22 , 500 Leverage : 5 xhttps://www.tradingview.com/x/vTGPzk 28 / @BitmexCourses","['BTC', 'BTCUSDT', 'BinanceBuy', 'Between', '23000', '-', '23400', 'Targets', '24000', '-', '24350', '-', '24850', '-', '25080', 'StopLoss', '22', '500', 'Leverage', '5', 'xhttpswww.tradingview.comxvTGPzk', '28', 'BitmexCourses']"
510,BitmexCourses,2023-02-27,12:03:43,,['nan']
509,BitmexCourses,2023-02-27,14:33:43,#DYDX #DYDXUSDT (Binance)Buy Between 2.90 - 3.00 Targets 3.15 - 3.33 - 3.50 - 3.80 StopLoss 2.60 Leverage 2 - 3 xhttps://www.tradingview.com/x/PDQsVD 18 / @BitmexCourses,"['DYDX', 'DYDXUSDT', 'BinanceBuy', 'Between', '2.90', '-', '3.00', 'Targets', '3.15', '-', '3.33', '-', '3.50', '-', '3.80', 'StopLoss', '2.60', 'Leverage', '2', '-', '3', 'xhttpswww.tradingview.comxPDQsVD', '18', 'BitmexCourses']"
508,BitmexCourses,2023-02-28,03:53:07,#SNX #SNXUSDT (Binance)Buy Between 2.80 - 2.95 Targets 3.20 - 3.45 - 3.66 - 4.00 StopLoss 2.40 https://www.tradingview.com/x/ZuQyNnT 9 / @BitmexCourses,"['SNX', 'SNXUSDT', 'BinanceBuy', 'Between', '2.80', '-', '2.95', 'Targets', '3.20', '-', '3.45', '-', '3.66', '-', '4.00', 'StopLoss', '2.40', 'httpswww.tradingview.comxZuQyNnT', '9', 'BitmexCourses']"
507,BitmexCourses,2023-03-01,04:44:34,#RIF #RIFUSDT (Binance)Buy Between 0.160 - 0.175 targets 0.188 - 0.200 - 0.210 - 0.225 StopLoss 0.145 Leverage : 2 - 3 xhttps://www.tradingview.com/x/rCWRGJik/ @BitmexCourses,"['RIF', 'RIFUSDT', 'BinanceBuy', 'Between', '0.160', '-', '0.175', 'target', '0.188', '-', '0.200', '-', '0.210', '-', '0.225', 'StopLoss', '0.145', 'Leverage', '2', '-', '3', 'xhttpswww.tradingview.comxrCWRGJik', 'BitmexCourses']"
506,BitmexCourses,2023-03-02,03:10:09,#GMT #GMTUSDT (Binance)Buy Between 0.36 - 0.40 Targets 0.44 - 0.48 - 0.54 - 0.60 StopLoss 0.32 https://www.tradingview.com/x/uBWtdGH 1 / @BitmexCourses,"['GMT', 'GMTUSDT', 'BinanceBuy', 'Between', '0.36', '-', '0.40', 'Targets', '0.44', '-', '0.48', '-', '0.54', '-', '0.60', 'StopLoss', '0.32', 'httpswww.tradingview.comxuBWtdGH', '1', 'BitmexCourses']"
505,BitmexCourses,2023-03-02,13:54:20,"#BTC #BTCUSDT (Binance)Sell Between 23 , 330 - 24 , 600 Targets 22 , 600 - 21 , 800 - 21 , 000 - 20420 StopLoss 25 , 800 Leverage : 2 xhttps://www.tradingview.com/x/xC 9 YkrNf/ @BitmexCourses","['BTC', 'BTCUSDT', 'BinanceSell', 'Between', '23', '330', '-', '24', '600', 'Targets', '22', '600', '-', '21', '800', '-', '21', '000', '-', '20420', 'StopLoss', '25', '800', 'Leverage', '2', 'xhttpswww.tradingview.comxxC', '9', 'YkrNf', 'BitmexCourses']"
504,BitmexCourses,2023-03-02,14:48:51,,['nan']
503,BitmexCourses,2023-03-14,02:05:21,#ETH #ETHUSDT (Binance)Buy Between 1600 - 1680 Targets 1770 - 1890 - 2000 - 2222 StopLoss 1450 https://www.tradingview.com/x/msRJSMUJ/ @BitmexCourses,"['ETH', 'ETHUSDT', 'BinanceBuy', 'Between', '1600', '-', '1680', 'Targets', '1770', '-', '1890', '-', '2000', '-', '2222', 'StopLoss', '1450', 'httpswww.tradingview.comxmsRJSMUJ', 'BitmexCourses']"
502,BitmexCourses,2023-03-14,04:41:08,#HOOK #HOOKUSDT (Binance)Buy Between 1.90 - 2.05 Targets 2.15 - 2.27 - 2.44 - 2.66 StopLoss 1.66 In case breakout the resistance then the next position is almost 31 K @BitmexCourses,"['HOOK', 'HOOKUSDT', 'BinanceBuy', 'Between', '1.90', '-', '2.05', 'Targets', '2.15', '-', '2.27', '-', '2.44', '-', '2.66', 'StopLoss', '1.66', 'In', 'case', 'breakout', 'resistance', 'next', 'position', 'almost', '31', 'K', 'BitmexCourses']"
